,Dep. Airports,Full Name,Location,State,County,Utility Provider,Emissions Factor,Emissions Factor ZeroAvia,Action,Generation Mix,Identification of Utility Source
0,ACV,Arcata–Eureka Airport,McKinleyville,CA,Humboldt,PG&E,43.6,29.51526527,,,
1,SFO,San Francisco International Airport,San Mateo County,CA,San Mateo,SFPUC,24.0,21.40540541,,https://www.energy.ca.gov/filebrowser/download/640,
2,APC,Napa County Airport,Napa County,CA,Napa,PG&E,43.6,29.51526527,,,
3,BUR,Bob Hope Airport,"Burbank, CA",CA,Los Angeles,Burbank Water and Power,426.8,320.603695,,,
4,LAS,McCarran International Airport,"Paradise, NV",NV,Clark,NV Energy (Nevada Power Co.),547.0,343.0601773,,https://naseo.org/Data/Sites/1/emap/nv-emap-baseline-2018-final.pdf,Personal contact via email
5,LAX,Los Angeles International Airport,"Los Angeles, CA",CA,Los Angeles,LADWP,321.1,270.227441,,,
6,OAK,Oakland International Airport,"Oakland, CA",CA,Alameda,PG&E,43.6,29.51526527,,,
7,SAN,San Diego International Airport,"San Diego, CA",CA,San Diego,San Diego Gas & Electric,209.7,163.1260143,,,
8,SJC,San Jose International Airport,"San Jose, CA",CA,Santa Clara,PG&E,43.6,29.51526527,,,
9,SNA,John Wayne Airport,"Santa Ana, CA",CA,Orange,SoCal Edison,129.8,113.3757974,,,
10,VNY,Van Nuys Airport,"Los Angeles, CA",CA,Los Angeles,LADWP,321.1,270.227441,,,
11,BFL,Meadows Field Airport,"Oildale, CA",CA,Kern,PG&E,43.6,29.51526527,,,
12,PHX,Phoenix Sky Harbor International Airport,"Phoenix, AZ",AZ,Maricopa,Arizona Public Service Company,364.5,280.5835941,,,
13,BOI,Boise Airport,"Boise, ID",ID,Ada,Idaho Power,268.0,195.3558742,,https://www.idahopower.com/energy-environment/energy/energy-sources/,https://www.iflyboise.com/media/1588/boi-mpu_full-report_final-sm.pdf
14,SMF,Sacramento International Airport,"Sacramento County, CA",CA,Sacramento,Sacramento MUD,195.3,129.7716757,,,
15,LGB,Long Beach Airport,"Long Beach, CA",CA,Los Angeles,SoCal Edison,129.8,113.3757974,,,
16,MRY,Monterey Regional Airport,"Monterey, CA",CA,Monterey,PG&E,43.6,29.51526527,,,
17,ONT,Ontario International Airport,"Ontario, CA",CA,San Bernardino,SoCal Edison,129.8,113.3757974,,,
18,RNO,Reno/Tahoe International Airport,"Reno, NV",NV,Washoe,NV Energy (Nevada Power Co.),547.0,343.0601773,,,Personal contact via email
19,SBA,Santa Barbara Municipal Airport,"Santa Barbara, CA",CA,Santa Barbara,PG&E,43.6,29.51526527,,,
20,STS,Charles M Schulz - Sonoma County Airport,"Santa Rosa, CA",CA,Sonoma,PG&E,43.6,29.51526527,,,
21,TRM,Jacqueline Cochran Regional Airport,"Thermal, CA",CA,Riverside,Imperial Irrigation District,280.9,180.870367,,,
22,CCR,Buchanan Field Airport,"Contra Costa Country, CA",CA,Contra Costa,PG&E,43.6,29.51526527,,,
23,CNO,Chino Airport,"Chino, CA",CA,San Bernardino,SoCal Edison,129.8,113.3757974,,,
24,EUG,Eugene Airport,"Eugene, OR",OR,Lane,"Energy Trust of Oregon (Lane Electric Cooperative, Emerald People's Utility District, Blachly-Lane Electric Cooperative)",364.5,266.6256988,,https://www.oregon.gov/energy/energy-oregon/Pages/Electricity-Mix-in-Oregon.aspx,https://www.eugene-or.gov/DocumentCenter/View/45770/EUG_Comprehensive-Airport-Development-Plan?bidId=
25,FAT,Fresno Yosemite International Airport,"Fresno, CA",CA,Fresno,PG&E,43.6,29.51526527,,,
26,FLG,Flagstaff Pulliam Airport,"Flagstaff, AZ",AZ,Coconino,Arizona Public Service Company,364.5,280.5835941,,,
27,HHR,Hawthorne Municipal Airport,"Hawthorne, CA",CA,Los Angeles,SoCal Edison,129.8,113.3757974,,,
28,LVK,Livermore Municipal Airport,"Livermore, CA",CA,Alameda,PG&E,43.6,29.51526527,,,
29,PSP,Palm Springs International Airport,"Palm Springs, CA",CA,Riverside,SoCal Edison,129.8,113.3757974,,,
30,SCK,Stockton Metropolitan Airport,"Stockton, CA",CA,San Joaquin,PG&E,43.6,29.51526527,,,
31,SMX,Santa Maria Public Airport,"Santa Maria, CA",CA,Santa Barbara,PG&E,43.6,29.51526527,,,
32,MMH,Mammoth Yosemite Airport,"Mammoth Lakes, CA",CA,Mono,SoCal Edison,129.8,113.3757974,,,
33,PRC,Prescott Regional Airport,"Prescott, AZ",AZ,Yavapai,Arizona Public Service Company,364.5,280.5835941,,,
34,SBP,San Luis Obispo County Regional Airport,"San Luis Obispo, CA",CA,San Luis Obispo,PG&E,43.6,29.51526527,,,
35,SGU,St George Regional Airport,"St George, UT",UT,Washington,Dixie Power,497.4,379.9037838,,https://www.stgeorgeutah.com/news/archive/2020/01/07/dld-st-george-looks-to-reduce-dependency-on-coal-by-increasing-natural-gas-nuclear-power-use/#.YUj8ky1h2u4,https://www.dixiepower.com/services/service-areas/
36,TUS,Tucson International Airport,"Tucson, AZ",AZ,Pima,Tucson Electric Power Company,611.9,468.4477679,,,
37,MFR,Rogue Valley International-Medford Airport,"Medford, OR",OR,Jackson,Pacific Power,607.2,451.147556,,https://www.oregon.gov/energy/energy-oregon/Pages/Electricity-Mix-in-Oregon.aspx,https://jacksoncountyor.org/airport/General/About-Us/Solar-Energy
38,MHR,Sacramento Mather Airport,"Sacramento County, CA",CA,Sacramento,Sacramento MUD,195.3,129.7716757,,,
39,PDX,Portland International Airport,"Portland, OR",OR,"Multnomah, Washington, Clackamas",Portland General Electric (assumed),364.5,266.6256988,,https://www.oregon.gov/energy/energy-oregon/Pages/Electricity-Mix-in-Oregon.aspx,
40,OTH,Southwest Oregon Regional Airport,"North Bend, OR",OR,Coos,Coos-Curry Electric Coop (assumed),364.5,266.6256988,,https://www.oregon.gov/energy/energy-oregon/Pages/Electricity-Mix-in-Oregon.aspx,
41,PGA,Page Municipal Airport,"Page, AZ",AZ,Coconino,Page Electric Utility,443.8,335.5663833,Send email and ask: http://www.pageutility.com/contact-us.html,,
42,RDD,Redding Municipal Airport,"Redding, CA",CA,Shasta,PG&E,43.6,29.51526527,,,
