UID Route,OD Pair Name,Departure,Arrival,Num. of Flights,Cruise Time (min),Total Taxi/Idle (min),Fuel Consumption (kg/pax/mi),CO2 (kg/pax/mi),HC (kg/pax/mi),CO (kg/pax/mi),NOx (kg/pax/mi),NOx Dep Airport (kg/pax/mi),NOx Arr Airport (kg/pax/mi),PM (kg/pax/mi),PM Dep Airport (kg/pax/mi),PM Arr Airport (kg/pax/mi),Pax,Distance (mi),True Dist (mi),Dep Lat,Dep Lon,Arr Lat,Arr Lon,Route Type,Common A/C Type,CO2 Community,Upper/Lower Half,Speed Ratio,Freq. Alice Equivalent,Freq. ZA Equivalent,Flight Hr. Coef,Num. Jet AC,EA EF (kg CO2 eq),ZA EF (kg CO2 eq)
APCBUR,APCBUR,APC,BUR,13,45.02307692,16.42307692,0.602458327,1.898640651,0.00022637099999999998,0.004159595,0.008272005,0.0008498830000000001,0.000226811,5.8399999999999997e-05,1.24e-06,9.15e-08,8.538461538,352.8614606,352.8614606,38.2132,-122.280998,34.20069885,-118.35900120000001,Intra-CA,C680,24.68232846,1,2.090909090909091,13.0,13.0,0.0006525679875151515,0.003279740740514815,0.0436,0.9828583332999999
BURAPC,APCBUR,BUR,APC,20,49.2,18.5,0.6619277370000001,2.086048777,0.00022670900000000001,0.004738333,0.009143122,0.000914158,0.000253312,6.759999999999999e-05,1.05e-06,1.0900000000000001e-07,8.8,352.8614606,352.8614606,34.20069885,-118.35900120000001,38.2132,-122.280998,Intra-CA,C680,41.72097555,1,2.090909090909091,20.0,20.0,0.0007126262626262626,0.005513703703703704,0.4268,10.67610304
LASAPC,APCLAS,LAS,APC,22,60.28181818,21.18181818,0.617314367,1.94502605,0.000643294,0.0035419490000000004,0.007364997,0.001970319,0.00037231,0.00011642299999999999,2.47e-06,2.91e-07,10.04545455,338.0024811,419.9895309331491,36.08010101,-115.15200039999999,38.2132,-122.280998,Domestic Out-of-CA,C750,42.79057309,1,2.4,44.0,22.0,0.0009597676767333334,0.007424981481255556,0.547,11.4239039
APCLAX,APCLAX,APC,LAX,18,49.32222222,23.22222222,0.663920132,2.092507566,0.00020731099999999998,0.004293293,0.008707486,0.00102157,0.000291135,7.829999999999999e-05,4.78e-07,8.119999999999999e-08,9.833333332999999,365.5560348,365.5560348,38.2132,-122.280998,33.94250107,-118.40799709999999,Intra-CA,C680,37.66513619,1,2.090909090909091,36.0,18.0,0.0007402805835757574,0.0049824259257,0.0436,0.9828583332999999
LAXAPC,APCLAX,LAX,APC,36,51.71111111,20.27777778,0.539266984,1.699770622,0.000485935,0.004543213,0.006759018,0.001119737,0.000260267,6.78e-05,1.73e-06,1.91e-07,11.46502432,365.5560348,365.5560348,33.94250107,-118.40799709999999,38.2132,-122.280998,Intra-CA,C680,61.19174238,1,2.090909090909091,72.0,36.0,0.0007516722783383837,0.0104328148146,0.3211,8.998573784
APCOAK,APCOAK,APC,OAK,19,8.889473684,18.71052632,2.064179968,6.512385105,0.0016659429999999998,0.021221151,0.023646525,0.009235766999999999,0.002472335,0.00010981700000000001,1.49e-05,1.82e-06,9.157894737000001,34.08410307,34.08410307,38.2132,-122.280998,37.721298,-122.221001,Intra-CA,C680,123.735317,1,2.090909090909091,19.0,19.0,0.0002455422647737374,0.0009833888888740741,0.0436,0.9828583332999999
OAKAPC,APCOAK,OAK,APC,56,6.0642857139999995,16.96428571,2.091799317,6.603469334,0.0064418290000000005,0.028379036,0.027309464,0.016311416000000002,0.00335992,0.00010154,1.9699999999999998e-05,2.2e-06,9.035714286000001,34.08410307,34.08410307,37.721298,-122.221001,38.2132,-122.280998,Intra-CA,C680,369.7942827,1,2.090909090909091,56.0,56.0,0.0002030230879959596,0.002010407407296296,0.0436,0.9828583332999999
SANAPC,APCSAN,SAN,APC,26,65.25384615,20.03846154,0.5989544410000001,1.887465824,0.00018233099999999999,0.00379404,0.008156719,0.000657279,0.000179492,6.87e-05,1.07e-06,1.1e-07,8.615384615,474.30254169999995,474.30254169999995,32.73360062,-117.1900024,38.2132,-122.280998,Intra-CA,C680,49.07411143,1,2.090909090909091,26.0,26.0,0.0009076573426212121,0.009490407406855556,0.2097,5.432096276
APCSFO,APCSFO,APC,SFO,27,13.32222222,19.83333333,2.4317692859999998,7.670962726,0.00736914,0.032759601,0.033079408,0.013631987,0.003041045,0.00015206,1.89e-05,2.28e-06,8.666666667000001,41.30204309,41.30204309,38.2132,-122.280998,37.61899948,-122.375,Intra-CA,C680,207.1159936,1,2.090909090909091,27.0,27.0,0.0003032716048939394,0.002065166666325,0.0436,0.9828583332999999
SFOAPC,APCSFO,SFO,APC,72,6.933333332999999,22.77777778,1.702127254,5.371785761,0.0020110939999999997,0.019521699,0.020029371,0.009383163,0.002262039,8.56e-05,1.3300000000000001e-05,1.42e-06,9.0,41.30204309,41.30204309,37.61899948,-122.375,38.2132,-122.280998,Intra-CA,C680,386.7685748,1,2.090909090909091,72.0,72.0,0.00024541526375707073,0.0029711851850666663,0.024,0.7128
